"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's","4.1","20","13","3","3","0","1","2","variety",,,,,,,,,,,,,,,,,,
"Rabusch","4.4","114","78","22","10","4","0","2","discounts","2","good atmosphere","2","dress","4","quality clothes","3","female employees","2","trust","2","pay","2","lie","5","seller","5","clothes"
"Faus | Multimarcas Masculina Asa sul Brasilia | Jab Levis Osklen Reserva Lacoste Diesel Brasilia","4.9","38","36","0","0","2","0","3","cozy atmosphere","2","tasteful pieces","2","parts","2","wonderful store","3","location","4","variety","2","pieces","2","brands",,,,
"Levis","4.3","21","14","4","2","0","1",,,,,,,,,,,,,,,,,,,,
"Levi's Outlet","3.9","19","9","5","2","2","1","2","promotions","2","seller",,,,,,,,,,,,,,,,
"Levi's","3","6","3","0","3","0","0","2","pants",,,,,,,,,,,,,,,,,,
"Loja FRAD - Levi’s & Ellus & Oficina","5","174","173","1","0","0","0","5","helpful salesperson","4","quality of the pieces","8","quality clothes","9","brands","5","pleasant atmosphere","6","quality products","3","gifts","2","elegance","4","variety of clothes","7","consulting"
"Loja FRAD - Levi’s & Ellus & Oficina","5","11","11","0","0","0","0","2","consultant",,,,,,,,,,,,,,,,,,
"Levi's","4.8","25","21","3","0","0","1","2","options",,,,,,,,,,,,,,,,,,
"Levi's - Shopping Estação Cuiabá","4","22","13","3","3","2","1",,,,,,,,,,,,,,,,,,,,
"ZIXIZ STYLE","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levis","5","4","4","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Loja Marrakech Levi's","1","1","0","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi multimarcas","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"LevíBabyModa","5","20","20","0","0","0","0","2","quality clothes","2","variety","4","product quality","2","products",,,,,,,,,,,,
"Levi's - Garten Shopping Joinville","4.7","56","46","5","1","3","1","3","product quality","3","variety","2","salesperson","2","products","2","store",,,,,,,,,,
"Atacadão do Levi",,,,,,,,,,,,,,,,,,,,,,,,,,,
"VISUAL STYLOS jeans","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Believe Outlet","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's - Shopping Mueller Joinville","5","40","39","0","0","1","0","6","polite salesperson","2","model","2","brand","3","customer attention","2","product quality","2","politeness","3","wonderful store","2","notice","2","part","3","team"
"Levi's","4.5","186","123","46","8","8","1","3","variety of products","3","promotions","3","product quality","2","mark","3","seller","3","clothes","2","shopping","2","quality clothing","2","variety","2","collection"
"DI LEVI","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
